"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 30, 2020","12.20","12.59","12.94","12.08","64.95M","-3.94%"
"Jul 29, 2020","12.70","12.65","13.00","12.43","69.55M","3.50%"
"Jul 28, 2020","12.27","11.49","12.64","11.39","90.08M","4.96%"
"Jul 27, 2020","11.69","12.04","12.08","11.27","64.07M","-1.10%"
"Jul 24, 2020","11.82","11.38","11.90","10.91","93.43M","-2.72%"
"Jul 23, 2020","12.15","12.57","12.60","11.86","95.21M","-1.86%"
"Jul 22, 2020","12.38","12.37","12.82","11.82","112.26M","-3.88%"
"Jul 21, 2020","12.88","13.43","13.54","12.63","128.39M","0.47%"
"Jul 20, 2020","12.82","11.40","12.84","11.40","155.43M","15.60%"
"Jul 17, 2020","11.09","11.87","12.07","10.48","290.41M","-14.30%"
"Jul 16, 2020","12.94","12.53","13.15","12.48","134.61M","-4.29%"
"Jul 15, 2020","13.52","13.83","13.92","12.85","114.60M","-4.05%"
"Jul 14, 2020","14.09","13.19","14.13","12.45","196.12M","1.81%"
"Jul 13, 2020","13.84","15.23","16.42","13.68","313.46M","-7.61%"
"Jul 10, 2020","14.98","15.61","15.73","14.20","318.85M","2.81%"
"Jul 09, 2020","14.57","13.50","14.62","13.07","316.79M","13.12%"
"Jul 08, 2020","12.88","14.13","15.26","12.10","570.91M","-2.57%"
"Jul 07, 2020","13.22","11.26","13.77","10.70","444.07M","14.86%"
"Jul 06, 2020","11.51","11.02","12.30","10.95","329.22M","22.71%"
"Jul 02, 2020","9.38","9.03","9.39","8.71","221.50M","18.58%"
"Jul 01, 2020","7.91","7.72","7.99","7.68","64.84M","2.46%"
"Jun 30, 2020","7.72","7.20","7.75","7.13","84.49M","6.78%"
"Jun 29, 2020","7.23","6.98","7.25","6.72","46.07M","4.78%"
"Jun 26, 2020","6.90","7.03","7.18","6.80","33.60M","-2.54%"
"Jun 25, 2020","7.08","6.66","7.14","6.60","46.66M","3.21%"
"Jun 24, 2020","6.86","6.91","7.08","6.50","103.89M","-5.12%"
"Jun 23, 2020","7.23","7.53","7.68","7.19","79.86M","-2.69%"
"Jun 22, 2020","7.43","7.80","7.90","7.38","112.98M","1.23%"
"Jun 19, 2020","7.34","7.35","7.62","7.24","84.60M","2.23%"
"Jun 18, 2020","7.18","6.80","7.35","6.79","78.85M","4.97%"
"Jun 17, 2020","6.84","6.93","6.98","6.67","58.93M","-2.15%"
"Jun 16, 2020","6.99","7.42","7.42","6.53","130.48M","2.34%"
"Jun 15, 2020","6.83","5.96","6.99","5.93","113.69M","11.97%"
"Jun 12, 2020","6.10","6.20","6.32","5.92","59.84M","3.21%"
"Jun 11, 2020","5.91","5.75","6.09","5.68","126.51M","-6.19%"
"Jun 10, 2020","6.30","6.73","6.94","6.17","100.17M","-5.69%"
"Jun 09, 2020","6.68","5.83","6.83","5.76","136.91M","11.89%"
"Jun 08, 2020","5.97","5.79","6.08","5.68","85.95M","6.80%"
"Jun 05, 2020","5.59","6.04","6.07","5.53","90.81M","-6.37%"
"Jun 04, 2020","5.97","6.01","6.20","5.62","173.05M","6.61%"
"Jun 03, 2020","5.60","5.00","5.70","4.99","199.21M","19.15%"
"Jun 02, 2020","4.70","4.36","4.72","4.35","82.48M","10.33%"
"Jun 01, 2020","4.26","3.99","4.33","3.97","69.22M","7.04%"
"May 29, 2020","3.98","3.82","4.00","3.73","50.40M","3.92%"
"May 28, 2020","3.83","3.97","4.11","3.75","63.10M","-8.15%"
"May 27, 2020","4.17","4.01","4.20","3.91","70.72M","9.16%"
"May 26, 2020","3.82","3.42","3.82","3.41","59.85M","16.82%"
"May 22, 2020","3.27","3.33","3.34","3.18","22.89M","-1.80%"
"May 21, 2020","3.33","3.40","3.44","3.25","41.63M","-4.31%"
"May 20, 2020","3.48","3.76","3.82","3.41","52.06M","-5.69%"
"May 19, 2020","3.69","3.60","3.75","3.59","21.71M","2.22%"
"May 18, 2020","3.61","3.51","3.69","3.51","27.83M","7.12%"
"May 15, 2020","3.37","3.36","3.45","3.36","13.70M","-2.32%"
"May 14, 2020","3.45","3.31","3.52","3.27","20.94M","0.29%"
"May 13, 2020","3.44","3.65","3.67","3.32","34.03M","-4.97%"
"May 12, 2020","3.62","3.74","3.78","3.61","21.94M","-3.21%"
"May 11, 2020","3.74","3.72","3.77","3.66","16.59M","-0.80%"
"May 08, 2020","3.77","3.68","3.80","3.60","27.86M","3.86%"
"May 07, 2020","3.63","3.63","3.67","3.52","26.74M","0.28%"
"May 06, 2020","3.62","3.59","3.65","3.45","54.35M","10.37%"
"May 05, 2020","3.28","3.44","3.48","3.28","22.32M","-1.80%"
"May 04, 2020","3.34","3.08","3.36","3.08","23.39M","5.03%"
"May 01, 2020","3.18","3.30","3.33","3.12","31.27M","-6.74%"
"Apr 30, 2020","3.41","3.63","3.72","3.37","44.54M","-5.54%"
"Apr 29, 2020","3.61","3.83","3.98","3.59","89.24M","8.08%"
"Apr 28, 2020","3.34","3.40","3.44","3.20","36.33M","3.09%"
"Apr 27, 2020","3.24","3.00","3.26","2.95","35.64M","10.20%"
"Apr 24, 2020","2.94","3.08","3.10","2.91","22.13M","-3.92%"
"Apr 23, 2020","3.06","3.20","3.20","3.05","17.43M","-0.97%"
